#,title ,Type,input,output,LLM,Category,2nd categ,Main strengths,Main weaknesses,dataset,ER,eval,result,code available,pipline method used,context aware,categ context,representation context,context usage in method detail text
1,VAE-Stega: linguistic steganography based on variational auto-encoder,Steganography,control-text,stego-text,"BERTBASE (BERT-LSTM) 
(LSTM-LSTM) model was trained from scratch",VAE,,statistical fidelity,Not AutoRegressive,"Twitter (2.6M sentences)
IMDB (1.2M sentences)
preprocessed        ",5.245,"PPL, KLD. JSD
FE,CNN,TS-CSW( Acc, R )","PPL: 28.879, ∆MP: 0.242, KLD: 3.302, JSD: 10.411, Acc: 0.600, R: 0.616	",github,"Input text → Encoder (LSTM/BERT) → latent vector z ~ N(0,1)
z → Decoder (LSTM) → conditional distribution → top-m Candidate Pool
Candidate Pool + secret bits → Coding (Huffman/Arithmetic) → word output
Repeat → sentence with hidden bits
Shared z + Decoder → conditional distribution → CP reconstruction
Observed word + CP → decode bits",non-explicit,pre-text,text,
2,General framework for reversible data hiding in texts based on masked language modeling,Steganography,"cover text, secret key, data ",stego-text,BERTBase,MLM,,,,BookCorpus ,4.152,"PPL, ER 47, 48, 49","BPW=0.5335
F1=0.9402
PPL=134.2199 ",NO,"Initialized text (secret words fixed, others masked)
→ Masked LM → conditional distribution over masked slots
→ secret bits guide word selection → Marked Text
Marked Text = original words + data-encoded generated words
→ Receiver (with key) → decode secret bits + recover original text
",non-explicit,pre-text,text,
3,Co-stega: Collaborative linguistic steganography for the low capacity challenge in social media,Steganography,,,"Llama-2-7B-chat, GPT-2 (fine-tuned), Llama-2-13B",Agent,,"High capacity, fluency, semantic relevance, EES boosts entropy, 𝜖-security satisfied","Context limits capacity, retrieval vulnerable to mismatch, small models limit query handling","Tweet dataset (for GPT-2 fine-tuning), Twitter (real-time testing)",10.42,"Capacity, Entropy, SR1, SR2, E(Capacity), Words/Tokens, PPL, SimCSE, 𝜖-security","SR1: 60.87%, SR2: 98.55%, Gen. Capacity: 44.91 bits, Entropy: 49.21 bits, BPW: 2.31, PPL: 16.75, SimCSE: 0.69",No,"Message → split into query bits + remaining bits  
Query bits → Search engine → retrieve matching posts  
Remaining bits + retrieved context → LLM (with entropy prompts) → generate reply  
→ Reply embeds remaining bits  
",explicit,Social Media,text,"Context is used for embedding and generation: the retrieval module embeds part of the message by selecting posts matching the query, and the generation module encodes the rest in replies conditioned on that context to balance capacity and relevance."
4,Joint linguistic steganography with BERT masked language model and graph attention network,Steganography,"prefix text, data, intermediate text",stego-text,"LSTM + attention for temporal context.
GAT for spatial token relationships.
BERT MLM for deep semantic context in substitution.",GMLM,,,,OPUS,2.251,"PPL, KLD, SIM, ER, FLOPs, LS-CNN, TS-RNN, BERT classifier","PPL=13.917
KLD=2.904
SIM=0.812
ER=0.365 (BN=2)
Best Acc=0.575 (BERT classifier)
FLOPs=1.834G",no,"pre‑text → LSTM → Temporal context (H_time) → self-attention → H_time'
                                
 Temporal context (H_time) + sliding-window graph
                        → GAT → Spatial context (H_space)

GAT + H_time' + H_space → fusion → next-token distribution
",explicit,pre-text,text,
5,"Discop: Provably secure steganography in practice based on"" distribution copies""",Steganography,"prefix text, data",stego-text,GPT-2,sampling,,,,IMDB,5.76,"KLD, ER, FCN, R-BiLSTM-C, BiLSTM-Dense","p=1.00
Total Time (seconds)=362.63
Ave Time ↓ (seconds/bit)=6.29E-03
Ave KLD ↓ (bits/token)=0
Max KLD ↓ (bits/token)=0
Capacity (bits/token)=5.76
Entropy (bits/token)=6.08
Utilization ↑=0.95
Text Generation (FCN): 50.10%.
Text Generation (R-BiLSTM-C): 50.45%.
Text Generation (BiLSTM-Dense): 49.95%",yes,sampling using the distribution copy,non-explicit,tuning + pretext,text,
6,Generative text steganography with large language model,Steganography,"prefix text, data",stego-text,Any,BlackBox,,,,,5.93,"PPL, BPW, LS-CNN, BiLSTM-Dense, and Bert-FT, KLD","Length: 13.333 (words).
BPW: 5.93 bpw
PPL: 165.76.
Semantic Similarity (SS): 0.5881
LS-CNN Acc: 51.55%.
BiLSTM-Dense Acc: 49.20%.
Bert-FT Acc: 50.00%.
KLD (Log, lower is better): 2.02 .",no,"Keyword Prompt → LLM → 4 keyword subsets:
- Subject, Predicate, Object (16 words each)
- Emotion (3 words: negative, neutral, positive)
→ Evaluation Prompt → LLM optimizes sampling probabilities
",explicit,,,
7,Meteor: Cryptographically secure steganography for realistic distributions,Steganography,"prefix text, data",stego-text,GPT-2,sampling,,,,"Hutter Prize, HTTP GET requests",4.11,"PPL,Average Time (Ave Time - seconds/bit), ER, Utilization,  FCN, R-BiLSTM-C, BiLSTM-Dense",GPT-2: 3.09 bits/token,no,"Next-word distribution → partitioned into intervals
→ random r selects word
→ shared r prefix → message bits
→ r XOR PRG mask → secure transmission
→ Receiver unmasks r → decodes bits
→ Bit rate ∝ entropy of next word",non-explicit,tuning + pretext,text,
8,Zero-shot generative linguistic steganography,Steganography,"prefix text, data, context samples",stego-text,"LLaMA2-Chat-7B (as the stegotext generator / QA model).
GPT-2 (for NLS baseline and JSD evaluation)",sampling,,,,"IMDB, Twitter ",2.511,"JSD, PPL, BPW, TS-BiRNN, R-BiLSTM-C, BERT-C","
PPL: 8.81.
JSDfull: 17.90 (x10^-2).
JSDhalf: 16.86 (x10^-2).
JSDzero: 13.40 (x10^-2)
TS-BiRNN: 80.29%.
R-BiLSTM-C: 84.34%.
BERT-C: 89.61%",https://github.com/leonardodalinky/zero-shot-GLS,"Secret text → Huffman + Edge Flipping → binary bitstream  
→ LM generates candidates (filtered by threshold τ)  
→ Embedding Module selects word matching bitstream prefix  
+ Annealing Selection (temperature control)  
+ Repeat Penalty (discourages repetition)  
→ Word output per step → encoded sentence  
",explicit,zero-shot + prompt,text,
9,Provably secure disambiguating neural linguistic steganography,Steganography,"prefix text, data",stego-text,"LLaMA2-7b (English), Baichuan2-7b (Chinese)",,,"Zero decoding error, provable security, perceptual imperceptibility, multilingual support, transferable design",Reduced entropy utilization due to token prefix loss in detokenization/retokenization,"IMDb dataset (100 texts/sample, 3 English sentences + Chinese translations)",0.85,"Total Error, Ave/Max KLD, Ave PPL, Utilization, Total & Ave Time; proven secure against PPT adversaries","Total Error: 0%, Ave KLD: 0, Max KLD: 0, Ave PPL: 3.19 (EN), 7.49 (ZH), Capacity: 1.03–3.05 bits/token, Utilization: 0.66–0.74, Ave Time: ~4μs/bit",https://github.com/7-yaya/SyncPool,"Context → token distribution prediction
→ ambiguous token pooling
→ CSPRNG + message bits select tokens from pools
→ detokenize → coherent stegotext
",non-explicit ,pretext,text,pre-text
10,A principled approach to natural language watermarking,Watermarking,"cover text,
Watermark bitstring (𝑚)
Side info (𝐾, shared, hidden from attacker)",marked-text,Transformer-based encoder/decoder; BERT for distillation,,,,,Web Transformer 2,0.2,"Capacity: BPT, Bit accuracy; Transparency: METEOR, SBERT; Robustness: accuracy drop under attack; Ownership Verification","Bit acc: 0.994 (K=None), 1.000 (DAE), 0.978 (Adaptive+K=S); Meteor Drop: ~0.057; SBERT ↑: ~1.227; Ownership Rate: 1.0 (no attack), 0.978 (adaptive+K=S)",NO,"Original Text (S), Watermark bits (m), Side info (K) →
Encoder (Transformer) → paraphrase under distortion constraints →
Watermarked Text (X)
Attacker (omniscient) → corrupts X → Corrupted Text (Y)
Decoder (Transformer + linear) + K → estimate watermark (m̂)
Train via rate-distortion game maximizing mutual info,
minimizing distortion, with adversarial robustness",Yes; semantic-level embedding; synonym substitution using BERT,"Yes; watermark message assigned categorical label (e.g., 4-bit → 1-of-16)",Yes; semantic embeddings via transformer encoder and BERT; SBERT distance as metric,
11,Context-aware linguistic steganography model based on neural machine translation,Steganography,"Source text, Secret bit sequence",stego-text,"BERT (encoder), LSTM (decoder)",NMT,Context-Aware,"Context control, Semantic match","Old models lacked context, low capacity (waiting), probabilistic cliffs, possible meaning mismatch","WMT18 News Commentary (train/test), Yang et al. bits, Doc2Vec, 5,000 stego pairs (8:1:1 split)",3.275,"BLEU, PPL, KL Divergence, SIM, ER, Detection Rate,TS-RNN, LS-CNN, Bi-LSTM-C","BLEU: 30.5, PPL: 22.5, ER: 0.29, KL: 0.02, SIM: 0.86, Stego detection ~16%",No,"Context (C), Secret Message (m), Shared Key (K) →
Language Model (Transformer) → next-token distribution (Pc, V)
SyncPool Ambiguity Pool Grouping → ambiguous tokens grouped (V_amb),
preserving original distribution
Embed message via ENCODE + CSPRNGsteg → select Ambiguity Pool
If ambiguous → CSPRNGsync → synchronous token selection
Detokenize → Stegotext (S) → transmit
Receiver DECODE + retokenization + CSPRNGsteg + CSPRNGsync →
extract message bits, preserving provable security",Yes,,"GCF (global context), LMR (language model reference), Multi-head attention",
12,DeepTextMark: a deep learning-driven text watermarking approach for identifying large language model generated text,Watermarking,cover-text,marked-text,Model-independent; tested with OPT-2.7B,,,"Blindness, robustness, imperceptibility, high accuracy, automatic, model-independent, compact, fast, sentence-level","Training data dependence, needs pre-watermarking, limited on short/diverse texts, insertion overhead, rewrite circumvention","Dolly ChatGPT (train/validate), C4 (test), robustness & sentence-level test sets",1,"Detection Accuracy, SMS, mSMS, mIOA, TPR, FNR, AUC, comparative analysis","100% accuracy (multi-synonym, 10-sentence), mSMS: 0.9892, TPR: 0.83, FNR: 0.17, Detection: 0.00188s, Insertion: 0.27931s",No,"Input text → Identify candidate words (exclude stopwords/punctuation)
Candidates → Word2Vec → top-n semantically similar words
Secret bits + candidates → Guided substitution → sentence proposals
Proposals → USE → select highest similarity → Marked Text
Marked Text = original + synonym substitutions (watermarked)
Marked Text → BERT-based classifier → detect watermark (blind detection)",NO,,,
13,Hi-stega: A hierarchical linguistic steganography framework combining retrieval and generation,Steganography,"Context data carrier c, keyword set k, data",stego-text,GPT-2,RAG,,"High payload, semantic coherence, high text quality, strong resistance to steganalysis","Slightly reduced diversity, limited retrieval scope","Yahoo! News (titles, bodies, comments); 2,400 titles used",10.42,"ppl, MAUVE, Distinct-n, Δ(cosine), Δ(simcse), ER1, ER2; SeSy, TS-CNN","ppl: 109.60, MAUVE: 0.2051, ER2: 10.42, Δ(cosine): 0.0088, Δ(simcse): 0.0191",Yes,"Secret message m → split into data info + control info
Data info → retrieve carrier c from corpus C → maximize m ∩ c
Control info = (keywords k = m \ c, positions i = m ∩ c) → format → bitstream b
Bitstream b + keywords k + carrier c → Prompt Learning + Keyword Guidance → generate stegotext s
s embeds keywords k + hidden bitstream b → high semantic coherence (Δcos, Δsimcse) → cognitive imperceptibility
Only c or s ≠ full m → layer separation → security ↑, anti-steganalysis ↑
Embedding rate (ER2) ↑ → high payload per word with low perplexity
",explicit,Social Media,Text,"The method retrieves a context data carrier from a social corpus, using it as input to the language model. This context embeds some secret content naturally, while a Prompt Learning Module ensures template-based, semantically coherent stegotext generation. This boosts realism and imperceptibility in social settings."
